Book,Text
Ileż scen i obrazów z samej gry obłoków!
Bo każda chmura inna: na przykład jesienna
Pełznie jak żółw leniwa, ulewą brzemienna,
I z nieba aż do ziemi spuszcza długie smugi,
Jak rozwite warkocze, to są deszczu strugi;
Chmura z gradem, jak balon szybko z wiatrem leci,
Krągła, ciemnobłękitna, w środku żółto świeci,
Szum wielki słychać wkoło; nawet te codzienne,
Patrzcie państwo, te białe chmurki, jak odmienne!
Zrazu jak stada dzikich gęsi lub łabędzi,
A z tyłu wiatr jak sokół do kupy je pędzi:
Ściskają się, grubieją, rosną — nowe dziwy!
Dostają krzywych karków, rozpuszczają grzywy,
Wysuwają nóg rzędy i po niebios sklepie
Przelatują jak tabun rumaków po stepie:
Wszystkie białe jak srebro, zmieszały się… nagle
Z ich karków rosną maszty, z grzyw szerokie żagle,
Tabun zmienia się w okręt i wspaniale płynie
Cicho, z wolna po niebios błękitnej równinie!»

    Hrabia i Telimena poglądali w górę;
Tadeusz jedną ręką pokazał im chmurę,
A drugą ścisnął z lekka rączkę Telimeny.
Kilka już upłynęło minut cichej sceny;
Hrabia rozłożył papier na swym kapeluszu
I wydobył ołówek. Wtem przykry dla uszu
Odezwał się dzwon dworski i zaraz śród lasu
Cichego pełno było krzyku i hałasu.

    Hrabia, kiwnąwszy głową, rzekł poważnym tonem:
«Tak to na świecie wszystko los zwykł kończyć dzwonem!…
Rachunki myśli wielkiej, plany wyobraźni,
Zabawki niewinności, uciechy przyjaźni,
Wylania się serc czułych: gdy spiż z dala ryknie,
Wszystko miesza się, zrywa, mąci się i niknie!»
Tu, obróciwszy czuły wzrok ku Telimenie,
«Cóż zostaje?» A ona mu rzekła: «Wspomnienie!»
I chcąc Hrabiego nieco ułagodzić smutek,
Podała mu urwany kwiatek niezabudek.
Hrabia go ucałował i na pierś przyszpilał;
Tadeusz z drugiej strony krzak ziela rozchylał,
Widząc, że się ku niemu tym zielem przewija
Coś białego: była to rączka jak lilija;
Pochwycił ją, całował i usty po cichu
Utonął w niej jak pszczoła w liliji kielichu.
Uczuł na ustach zimno; znalazł klucz i biały
Papier w trąbkę zwiniony; był to listek mały.
Porwał, schował w kieszenie; nie wie, co klucz znaczy,
Lecz mu to owa biała kartka wytłumaczy.

    Dzwon wciąż dzwonił i echem z głębi cichych lasów
Odezwało się tysiąc krzyków i hałasów.
Odgłos to był szukania i nawoływania,
Hasło zakończonego na dziś grzybobrania;
Odgłos nie smutny wcale ani pogrzebowy,
Jak się Hrabiemu zdało: owszem, obiadowy.
Dzwon ten, w każde południe krzyczący z poddasza,
Gości i czeladź domu na obiad zaprasza:
Tak było w dawnych licznych dworach we zwyczaju
I zostało się w domu Sędziego. Więc z gaju
Wychodziła gromada, niosąca krobeczki,
Koszyki uwiązane końcami chusteczki,
Pełne grzybów; a panny w jednym ręku niosły,
Jako wachlarz zwiniony, *borowik* rozrosły,
W drugim związane razem jakby polne kwiatki,
*Opieńki* i rozlicznej barwy *surojadki*.
Wojski miał *muchomora*. Z próżnymi przychodzi
Rękami Telimena; z nią panicze młodzi.

    Goście weszli w porządku i stanęli kołem.
Podkomorzy najwyższe brał miejsce za stołem:
Z wieku mu i z urzędu ten zaszczyt należy,
Idąc kłaniał się starcom, damom i młodzieży;
Obok stał kwestarz; Sędzia tuż przy bernardynie.
Bernardyn zmówił krótki pacierz po łacinie;
Podano w kolej wódkę: za czym wszyscy siedli,
I chołodziec litewski milczkiem żwawo jedli.

    Obiadowano ciszej, niż się zwykle zdarza;
Nikt nie gadał, pomimo wezwań gospodarza.
Strony biorące udział w wielkiej o psów zwadzie,
Myśliły o jutrzejszej walce i zakładzie;
Myśl wielka zwykle usta do milczenia zmusza.
Telimena, mówiąca wciąż do Tadeusza,
Musiała ku Hrabiemu nieraz się odwrócić,
Nawet na Asesora nieraz okiem rzucić:
Tak ptasznik patrzy w sidło, kędy szczygły zwabia,
I razem w pastkę wróblą. Tadeusz i Hrabia,
Obadwa radzi z siebie, obadwa szczęśliwi,
Obaj pełni nadziei, więc niegadatliwi.
Hrabia na kwiatek dumne opuszczał wejrzenie,
A Tadeusz ukradkiem spozierał w kieszenie,
Czy ów kluczyk nie uciekł? Ręką nawet chwytał
I kręcił kartkę, której dotąd nie przeczytał.
Sędzia Podkomorzemu węgrzyna, szampana
Dolewał, służył pilnie, ściskał za kolana,
Ale do rozmawiania z nim nie miał ochoty
I widać, że czuł jakieś tajemne kłopoty.

    Przemijały w milczeniu talerze i dania;
Przerwał nareszcie nudny tok obiadowania
Gość niespodziany, szybko wpadając, gajowy;
Nie zważał nawet, że czas właśnie obiadowy,
Pobiegł do pana; widać z postawy i z miny,
Że ważnej i niezwykłej jest posłem nowiny.
Ku niemu oczy całe zwróciło zebranie.
On, odetchnąwszy nieco, rzekł: «Niedźwiedź, mospanie!»
Resztę wszyscy odgadli: że źwierz z *matecznika*
Wyszedł, że w zaniemeńską puszczę się przemyka,
Że go trzeba wnet ścigać, wszyscy wraz uznali,
Choć ani się radzili, ani namyślali;
Spólną myśl widać było z uciętych wyrazów,
Z gestów żywych, z wydanych rozlicznych rozkazów,
Które, wychodząc tłumnie, razem z ust tak wielu,
Dążyły przecież wszystkie do jednego celu.

    «Na wieś! — zawołał Sędzia — hej! konno, setnika!
Jutro na brzask obława, lecz na ochotnika;
Kto wystąpi z oszczepem, temu z robocizny
Wytrącić dwa szarwarki i pięć dni pańszczyzny».

    «W skok — krzyknął Podkomorzy — okulbaczyć siwą,
Dobiec w cwał do mojego dworu; wziąć co żywo
Dwie pjawki, które w całej okolicy słyną,
Pies zowie się Sprawnikiem, a suka Strapczyną;
Zakneblować im pyski, zawiązać je w miechu,
I przystawić je tutaj konno dla pośpiechu».
«Wańka! — krzyknął na chłopca Asesor po rusku —
Tasak mój sanguszkowski pociągnąć na brusku:
Wiesz, tasak co od księcia miałem w podarunku;
Pas opatrzyć, czy kula jest w każdym ładunku».
«Strzelby — krzyknęli wszyscy — mieć na pogotowiu!»
Asesor wołał ciągle: «Ołowiu, ołowiu!
Formę do kul mam w torbie». — «Do księdza plebana
Dać znać — dodał pan Sędzia — żeby jutro z rana
Mszę miał w kaplicy leśnej: króciuchna oferta
Za myśliwych, msza zwykła świętego Huberta».

    Po wydanych rozkazach nastało milczenie;
Każdy dumał i rzucał dokoła wejrzenie,
Jak gdyby kogoś szukał; z wolna wszystkich oczy
Sędziwa twarz Wojskiego ciągnie i jednoczy:
Znak to był, że szukają na przyszłą wyprawę
Wodza i że Wojskiemu oddają buławę.
Wojski powstał, zrozumiał towarzyszów wolę,
I uderzywszy ręką poważnie po stole,
Pociągnął złocistego z zanadrza łańcuszka,
Na którym wisiał gruby zegarek jak gruszka:
«Jutro — rzekł — pół do piątej, przy leśnej kaplicy
Stawią się bracia strzelcy, wiara obławnicy».

    Rzekł i ruszył od stołu, za nim szedł gajowy;
Oni obmyślić mają i urządzić łowy.

    Tak wodze, gdy na jutro bitwę zapowiedzą,
Żołnierze po obozie broń czyszczą i jedzą,
Lub na płaszczach i siodłach śpią próżni kłopotu,
A wodze śród cichego dumają namiotu.

    Przerwał się obiad, dzień zszedł na kowaniu koni,
Karmieniu psów, zbieraniu i czyszczeniu broni;
U wieczerzy, zaledwo kto przysiadł do stoła;
Nawet strona Kusego z partyją Sokoła,
Przestała dawnym wielkim zatrudniać się sporem:
Pobrawszy się pod ręce, Rejent z Asesorem
Wyszukują ołowiu. Reszta spracowana
Szła spać wcześnie, ażeby przebudzić się z rana.




Księga czwarta



Dyplomatyka i łowy

Zjawisko w papilotach budzi Tadeusza — Za późne postrzeżenie omyłki — Karczma — Emisariusz — Zręczne użycie tabakiery zwraca dyskusję na właściwą drogę — Matecznik — Niedźwiedź — Niebezpieczeństwo Tadeusza i Hrabiego — Trzy strzały — Spór Sagalasówki z Sanguszkówką rozstrzygniony na stronę jednorurki horeszkowskiej — Bigos — Wojskiego powieść o pojedynku Doweyki z Domeyką przerwana szczuciem kota — Koniec powieści o Doweyce i Domeyce.

    Rówienniki litewskich wielkich kniaziów, drzewa
Białowieży, Świtezi, Ponar, Kuszelewa!
Których cień spadał niegdyś na koronne głowy
Groźnego Witenesa, wielkiego Mindowy,
I Giedymina, kiedy na Ponarskiej Górze,
Przy ognisku myśliwskim, na niedźwiedziej skórze
Leżał, słuchając pieśni mądrego Lizdejki,
A Wilii widokiem i szumem Wilejki
Ukołysany, marzył o wilku żelaznym,
i zbudzony, za bogów rozkazem wyraźnym
Zbudował miasto Wilno, które w lasach siedzi
Jak wilk pośrodku żubrów, dzików i niedźwiedzi.
Z tego to miasta Wilna, jak z rzymskiej wilczycy,
Wyszedł Kiejstut i Olgierd, i Olgierdowicy,
Równie myśliwi wielcy jak sławni rycerze,
Czyli wroga ścigali, czyli dzikie źwierzę.
Sen myśliwski nam odkrył tajnie przyszłych czasów:
Że Litwie trzeba zawsze żelaza i lasów.

    Knieje! do was ostatni przyjeżdżał na łowy
Ostatni król, co nosił kołpak Witoldowy,
Ostatni z Jagiellonów wojownik szczęśliwy,
I ostatni na Litwie monarcha myśliwy.
Drzewa moje ojczyste! jeśli Niebo zdarzy,
Bym wrócił was oglądać, przyjaciele starzy,
Czyli was znajdę jeszcze? czy dotąd żyjecie?
Wy, koło których niegdyś pełzałem jak dziecię;
Czy żyje wielki Baublis, w którego ogromie
Wiekami wydrążonym, jakby w dobrym domie,
Dwunastu ludzi mogło wieczerzać za stołem?
Czy kwitnie gaj Mendoga pod farnym kościołem?
I tam na Ukrainie czy się dotąd wznosi
Przed Hołowińskch domem, nad brzegami Rosi,
Lipa tak rozrośniona, że pod jej cieniami
Sto młodzieńców, sto panien szło w taniec parami?

    Pomniki nasze! ileż co rok was pożera
Kupiecka lub rządowa, moskiewska siekiera!
Nie zostawia przytułku ni leśnym śpiewakom,
Ni wieszczom, którym cień wasz tak miły jak ptakom.
Wszak lipa czarnoleska, na głos Jana czuła,
Tyle rymów natchnęła! Wszak ów dąb gaduła
Kozackiemu wieszczowi tyle cudów śpiewa!

    Ja ileż wam winienem, o domowe drzewa!
Błahy strzelec, uchodząc szyderstw towarzyszy
Za chybioną źwierzynę, ileż w waszej ciszy
Upolowałem dumań, gdy w dzikim ostępie,
Zapomniawszy o łowach, usiadłem na kępie,
A koło mnie srebrzył się tu mech siwobrody,
Zlany granatem czarnej, zgniecionej jagody,
A tam się czerwieniły wrzosiste pagórki,
Strojne w brusznice jakby w koralów paciórki.
Wokoło była ciemność; gałęzie u góry
Wisiały jak zielone, gęste, niskie chmury;
Wicher kędyś nad sklepem szalał nieruchomym,
Jękiem, szumami, wyciem, łoskotami, gromem:
Dziwny, odurzający hałas! Mnie się zdało,
Że tam nad głową morze wiszące szalało.

    Na dole jak ruiny miast: tu wywrót dębu
Wysterka z ziemi na kształt ogromnego zrębu;
Na nim oparte, jak ścian i kolumn obłamy,
Tam gałęziste kłody, tu wpół zgniłe tramy
Ogrodzone parkanem traw. W środek tarasu
Zajrzeć straszno, tam siedzą gospodarze lasu,
Dziki, niedźwiedzie, wilki; u wrót leżą kości
Na pół zgryzione jakichś nieostrożnych gości.
Czasem wymkną się w górę przez trawy zielenie,
Jakby dwa wodotryski, dwa rogi jelenie,
I mignie między drzewa źwierz żółtawym pasem,
Jak promień, kiedy wpadłszy gaśnie między lasem.

    I znowu cichość w dole. Dzięcioł na jedlinie
Stuka z lekka i dalej odlatuje, ginie,
Schował się, ale dziobem nie przestaje pukać,
Jak dziecko, gdy schowane woła, by go szukać.
Bliżej siedzi wiewiórka, orzech w łapkach trzyma,
Gryzie go; zawiesiła kitkę nad oczyma,
Jak pióro nad szyszakiem u kirasyjera:
Chociaż tak osłoniona, dokoła spoziera,
Dostrzegłszy gościa, skacze gajów tanecznica
Z drzew na drzewa, miga się jako błyskawica;
Na koniec w niewidzialny otwór pnia przepada,
Jak wracająca w drzewo rodzime dryjada.
Znowu cicho.

                        Wtem, gałąź wstrząsła się trącona,
I pomiędzy jarzębin rozsunione grona
Kraśniejsze od jarzębin zajaśniały lica:
To jagód lub orzechów zbieraczka, dziewica.
W krobeczce z prostej kory podaje zebrane
Bruśnice świeże jako jej usta rumiane.
Obok młodzieniec idzie, leszczynę nagina:
Chwyta w lot migające orzechy dziewczyna.

    Wtem, usłyszeli odgłos rogów i psów granie:
Zgadują, że się ku nim zbliża polowanie,
I pomiędzy gałęzi gęstwę, pełni trwogi,
Zniknęli nagle z oczu jako leśne bogi.

    W Soplicowie ruch wielki. Lecz ni psów hałasy,
Ani rżące rumaki, skrzypiące kolasy,
Ni odgłos trąb dających hasło polowania
Nie mogły Tadeusza wyciągnąć z posłania;
Ubrany padłszy w łóżko, spał jak bobak w norze.
Nikt z młodzieży nie myślał szukać go po dworze;
Każdy sobą zajęty śpieszył, gdzie kazano;
O towarzyszu sennym całkiem zapomniano.

    On chrapał. Słońce w otwór, co śród okienicy
Wyrżnięty był w kształt serca, wpadło do ciemnicy
Słupem ognistym, prosto sennemu na czoło.
On jeszcze chciał zadrzemać i kręcił się wkoło,
Chroniąc się blasku. Nagle usłyszał stuknienie,
Przebudził się: wesołe było przebudzenie.
Czuł się rzeźwym jak ptaszek, z lekkością oddychał,
Czuł się szczęśliwym, sam się do siebie uśmiechał:
Myśląc o wszystkim, co mu wczora się zdarzyło,
Rumienił się i wzdychał, i serce mu biło.
Spojrzał w okno, o dziwy! W promieni przezroczu,
W owym sercu, błyszczało dwoje jasnych oczu,
Szeroko otworzonych, jak zwykle wejrzenie,
Kiedy z jasności dziennej przedziera się w cienie.
Ujrzał i małą rączkę, niby wachlarz z boku
Nadstawioną ku słońcu dla ochrony wzroku;
Palce drobne, zwrócone na światło różowe,
Czerwieniły się na wskroś jakby rubinowe.
Usta widział ciekawe, roztulone nieco,
I ząbki, co jak perły śród koralów świecą,
I lica, choć od słońca zasłaniane dłonią
Różową, same całe jak róże się płonią.

    Tadeusz spał pod oknem; sam ukryty w cieniu,
Leżąc na wznak, cudnemu dziwił się zjawieniu
I miał je tuż nad sobą, ledwie nie na twarzy:
Nie wiedział, czy to jawa, czyli mu się marzy
Jedna z tych miłych, jasnych twarzyczek dziecinnych,
Które pomnim widziane we śnie lat niewinnych.
Twarzyczka schyliła się — ujrzał, drżąc z bojaźni
I radości, niestety! ujrzał najwyraźniej,
Przypomniał, poznał włos ów krótki, jasnozłoty,
W drobne, jako śnieg białe, zwity papiloty,
Niby srebrzyste strączki, co od słońca blasku
Świeciły jak korona na świętych obrazku.

    Zerwał się i widzenie zaraz uleciało
Przestraszone łoskotem; czekał, nie wracało!
Tylko usłyszał znowu trzykrotne stukanie
I słowa: «Niech pan wstaje, czas na polowanie.
Pan zaspał». Skoczył z łóżka i obu rękami
Pchnął okienicę, że aż trzasła zawiasami
I rozwarłszy się w obie uderzyła ściany;
Wyskoczył, patrzył wkoło zdumiony, zmieszany,
Nic nie widział, nie dostrzegł niczyjego śladu.
Niedaleko od okna był parkan od sadu,
Na nim chmielowe liście i kwieciste wieńce
Chwiały się; czy je lekkie potrąciły ręce?
Czy wiatr ruszył? Tadeusz długo patrzył na nie,
Nie śmiał iść w ogród; tylko wsparł się na parkanie,
Oczy podniósł i z palcem do ust przyciśnionym
Kazał sam sobie milczeć, by słowem kwapionem
Nie rozerwał milczenia; potem w czoło stukał,
Niby do wspomnień dawnych uśpionych w nim pukał,
Na koniec, gryząc palce, do krwi się zadrasnął
I na cały głos: «Dobrze, dobrze mi tak!» wrzasnął.

    We dworze, gdzie przed chwilą tyle było krzyku,
Teraz pusto i głucho jak na mogilniku:
Wszyscy ruszyli w pole. Tadeusz nadstawił
Uszu i ręce do nich jak trąbki przyprawił;
Słuchał, aż mu wiatr przyniósł, wiejący od puszczy,
Odgłosy trąb i wrzaski polującej tłuszczy.

    Koń Tadeusza czekał w stajni osiodłany.
Wziął więc flintę, skoczył nań i jak opętany
Pędził ku karczmom, które stały przy kaplicy,
Kędy mieli się rankiem zebrać obławnicy.

    Dwie chyliły się karczmy po dwóch stronach drogi,
Oknami wzajem sobie grożące jak wrogi.
Stara należy z prawa do zamku dziedzica;
Nową, na złość zamkowi, postawił Soplica.
W tamtej, jak w swym dziedzictwie, rej wodził Gerwazy,
W tej najwyższe za stołem brał miejsce Protazy.

    Nowa karczma nie była ciekawa z pozoru.
Stara wedle dawnego zbudowana wzoru,
Który był wymyślony od tyryjskich cieśli,
A potem go Żydowie po świecie roznieśli:
Rodzaj architektury obcym budowniczym
Wcale nieznany; my go od Żydów dziedziczym.

    Karczma z przodu jak korab, z tyłu jak świątynia:
Korab, istna Noego czworogranna skrzynia,
Znany dziś pod prostackim nazwiskiem stodoły;
Tam różne są zwierzęta, konie, krowy, woły,
Kozy brodate; w górze zaś ptactwa gromady,
I płazów choć po parze, są też i owady.
Część tylna, na kształt dziwnej świątyni stawiona,
Przypomina z pozoru ów gmach Salomona,
Który pierwsi ćwiczeni w budowań rzemieśle
Hiramscy na Syjonie wystawili cieśle.
Żydzi go naśladują dotąd we swych szkołach,
A szkół rysunek widny w karczmach i stodołach.
Dach z dranic i ze słomy, spiczasty, zadarty,
Pogięty jako kołpak żydowski podarty.
Ze szczytu wytryskują krużganku krawędzie,
Oparte na drewnianym licznych kolumn rzędzie.
Kolumny, co jest wielkie architektów dziwo,
Trwałe, chociaż wpół zgniłe i stawione krzywo,
Jako w wieży pizańskiej, nie podług modelów
Greckich, bo są bez podstaw i bez kapitelów.
Nad kolumnami biegą wpółokrągłe łuki,
Także z drzewa, gotyckiej naśladowstwo sztuki.
Z wierzchu ozdoby sztuczne, nie rylcem, nie dłutem,
Ale zręcznie ciesielskim wyrzezane sklutem,
Krzywe jak szabasowych ramiona świeczników;
Na końcu wiszą gałki, coś na kształt guzików,
Które Żydzi modląc się na łbach zawieszają
I które po swojemu cyces nazywają.
Słowem, z daleka karczma chwiejąca się, krzywa,
Podobna jest do Żyda, gdy się modląc kiwa:
Dach jak czapka, jak broda strzecha roztrzęsiona,
Ściany dymne i brudne jak czarna opona,
A z przodu rzeźba sterczy jak cyces na czole.

    W środku karczmy jest podział jak w żydowskiej szkole:
Jedna część, pełna izbic ciasnych i podłużnych,
Służy dla dam wyłącznie i panów podróżnych;
W drugiej ogromna sala: koło każdej ściany
Ciągnie się wielonożny stół wąski, drewniany;
Przy nim stołki, choć niższe, podobne do stoła,
Jako dzieci do ojca.

                        Na stołkach dokoła
Siedziały chłopy, chłopki tudzież szlachta drobna,
Wszyscy rzędem; ekonom sam siedział z osobna.
Po rannej mszy z kaplicy, że była niedziela,
Zabawić się i wypić przyszli do Jankiela.
Przy każdym już szumiała siwą wódką czarka,
Ponad wszystkimi z butlą biegała szynkarka.
W środku arendarz Jankiel, w długim aż do ziemi
Szarafanie, zapiętym haftkami srebrnemi,
Rękę jedną za czarny pas jedwabny wsadził,
Drugą poważnie sobie siwą brodę gładził;
Rzucając wkoło okiem rozkazy wydawał,
Witał wchodzących gości, przy siedzących stawał
Zagajając rozmowę, kłótliwych zagadzał,
Lecz nie służył nikomu: tylko się przechadzał.
Żyd stary i powszechnie znany z poczciwości,
Od lat wielu dzierżawił karczmę, a nikt z włości,
Nikt ze szlachty nie zaniósł nań skargi do dworu.
O cóż skarżyć? Miał trunki dobre do wyboru,
Rachował się ostrożnie, lecz bez oszukaństwa,
Ochoty nie zabraniał, nie cierpiał pijaństwa,
Zabaw wielki miłośnik: u niego wesele
I chrzciny obchodzono, on w każdą niedzielę
Kazał do siebie ze wsi przychodzić muzyce,
Przy której i basetla była, i kozice.

    Muzykę znał, sam słynął muzycznym talentem;
Z cymbałami, narodu swego instrumentem,
Chadzał niegdyś po dworach i graniem zdumiewał,
I pieśniami, bo biegle i uczenie śpiewał.
Chociaż Żyd, dosyć czystą miał polską wymowę,
Szczególniej zaś polubił pieśni narodowe;
Przywoził mnóstwo z każdej za Niemen wyprawy,
Kołomyjek z Halicza, mazurów z Warszawy;
Wieść, nie wiem czyli pewna, w całej okolicy
Głosiła, że on pierwszy przywiózł z zagranicy
I upowszechnił wówczas, w tamecznym powiecie,
Ową piosenkę, sławną dziś na całym świecie,
A którą po raz pierwszy na ziemi Auzonów
Wygrały Włochom polskie trąby legijonów.
Talent śpiewania bardzo na Litwie popłaca,
Jedna miłość u ludzi, wsławia i wzbogaca:
Jankiel zrobił majątek; syt zysków i chwały,
Zawiesił dźwięcznostrunne na ścianie cymbały;
Osiadłszy z dziećmi w karczmie, zatrudniał się szynkiem,
Przy tym w pobliskim mieście był też podrabinkiem,
A zawsze miłym wszędzie gościem i domowym
Doradcą; znał się dobrze na handlu zbożowym,
Na wicinnym: potrzebna jest znajomość taka
Na wsi. Miał także sławę dobrego Polaka.

    On pierwszy zgodził kłótnie, często nawet krwawe,
Między dwiema karczmami: obie wziął w dzierżawę;
Szanowali go równie i starzy stronnicy
Horeszkowscy, i słudzy Sędziego Soplicy.
On sam powagę umiał utrzymać nad groźnym
Klucznikiem horeszkowskim i kłótliwym Woźnym;
Przed Jankielem tłumili dawne swe urazy
Gerwazy, groźny ręką, językiem Protazy.

    Gerwazego nie było; ruszył na obławę,
Nie chcąc, aby tak ważną i trudną wyprawę
Odbył sam Hrabia, młody i niedoświadczony;
Poszedł więc z nim dla rady tudzież dla obrony.

    Dziś miejsce Gerwazego, najdalsze od progu,
Między dwiema ławami, w samym karczmy rogu,
Zwane *pokuciem*, kwestarz ksiądz Robak zajmował.
Jankiel go tam posadził. Widać, że szanował
Wysoko bernardyna: bo skoro dostrzegał
Ubytek w jego szklance, natychmiast podbiegał
I rozkazał dolewać lipcowego miodu.
Słychać, że z bernardynem znali się za młodu,
Kędyś tam w cudzych krajach. Robak często chadzał
Nocą do karczmy, tajnie z Żydem się naradzał
O ważnych rzeczach; słychać było, że towary
Ksiądz przemycał — lecz potwarz ta niegodna wiary.

    Robak, wsparty na stole, wpół głośno rozprawiał,
Tłum szlachty go otaczał i uszy nadstawiał,
I nosy ku księdzowskiej chylił tabakierze;
Brano z niej, i kichała szlachta jak moździerze.

    «Reverendissime — rzekł kichnąwszy Skołuba —
To mi tabaka, co to idzie aż do czuba!
Od czasu jak nos dźwigam (tu głasnął nos długi)
Takiej nie zażywałem (tu kichnął raz drugi);
Prawdziwa bernardynka, pewnie z Kowna rodem,
Miasta sławnego w świecie tabaką i miodem.
Byłem tam lat już…» — Robak przerwał mu: «Na zdrowie
Wszystkim waszmościom, moi mościwi panowie!
Co się tabaki tyczy, hem, ona pochodzi
Z dalszej strony, niż myśli Skołuba dobrodziéj:
Pochodzi z Jasnej Góry. Księża paulinowie
Tabakę taką robią w mieście Częstochowie,
Kędy jest obraz tylu cudami wsławiony,
Bogarodzicy Panny, Królowej Korony
Polskiej… zowią ją dotąd i Księżną Litewską —
Koronęć jeszcze dotąd piastuje królewską…
Lecz na Litewskim Księstwie teraz syzma siedzi!»
«Z Częstochowy? — rzekł Wilbik. — Byłem tam w spowiedzi,
Kiedym na odpust chodził lat temu trzydzieście.
Czy to prawda, że Francuz gości teraz w mieście,
Że chce kościół rozwalać i skarbiec zabierze:
Bo to wszystko w Litewskim stoi Kuryjerze?»
«Nieprawda — rzekł bernardyn — nie! Pan Najjaśniejszy,
Napoleon, katolik jest najprzykładniejszy:
Wszak go papież namaścił, żyją z sobą w zgodzie
I nawracają ludzi w francuskim narodzie,
Który się trochę popsuł. Prawda, z Częstochowy
Oddano wiele srebra na skarb narodowy
Dla ojczyzny, dla Polski; sam Pan Bóg tak każe:
Skarbcem ojczyzny zawsze są Jego ołtarze.
Wszakże w Warszawskim Księstwie mamy sto tysięcy
Wojska polskiego, może wkrótce będzie więcéj:
A któż wojsko opłaci? czy nie wy, Litwini?
Wy tylko grosz dajecie do moskiewskiej skrzyni».
«Kat by dał — krzyknął Wilbik — gwałtem od nas biorą».
«Oj, dobrodzieju — chłopek ozwał się z pokorą,
Pokłoniwszy się księdzu i skrobiąc się w głowę —
Już to szlachcie, to jeszcze bieda przez połowę;
Lecz nas drą jak na łyka…» «Cham! — Skołuba krzyknął —
Głupi, tobieć to lepiej, tyś chłopie przywyknął,
Jak węgorz do odarcia: lecz nam *urodzonym*,
Nam wielmożnym, do złotych swobód wzwyczajonym!
Ach, bracia! wszak to dawniej szlachcic na zagrodzie…
(«Tak, tak — krzyknęli wszyscy — równy wojewodzie!»)
Dziś nam szlachectwa przeczą, każą nam drabować
Papiery, i szlachectwa papierem próbować».
«Jeszcze Waszeci mniejsza — zawołał Juraha —
Waszeć z pradziadów chłopów uszlachcony szlacha;
Ale ja, z kniaziów! Pytać u mnie o patenta,
Kiedym został szlachcicem? Sam Bóg to pamięta!
Niechaj Moskal w las idzie pytać się dębiny,
Kto jej dał patent rosnąć nad wszystkie krzewiny».
«Kniaziu — rzekł Żagiel — świeć waść baki lada komu,
Tu znajdziesz pono mitry i w niejednym domu».
«Waść ma krzyż w herbie — wołał Podhajski — to skryta
Aluzyja, że w rodzie bywał neofita».
«Fałsz — przerwał Birbasz — Przecież ja z tatarskich hrabiów
Pochodzę, a mam krzyże nad herbem Korabiów».
«Poraj — krzyknął Mickiewicz — z mitrą w polu złotym,
Herb książęcy, Stryjkowski gęsto pisze o tym».

    Za czym wielkie powstały w całej karczmie szmery.
Ksiądz bernardyn uciekł się do swej tabakiery;
W kolej częstował mówców. Gwar zaraz ucichnął;
Każdy zażył przez grzeczność i kilkakroć kichnął.
Bernardyn, korzystając z przerwy, mówił daléj:
«Oj, wielcy ludzie od tej tabaki kichali!
Czy uwierzycie państwo, że z tej tabakiery,
Pan jenerał Dąbrowski zażył razy cztery?»
«Dąbrowski?» — zawołali. «Tak, tak, on, jenerał.
Byłem w obozie, gdy on Gdańsk Niemcom odbierał;
Miał coś pisać; bojąc się, ażeby nie zasnął,
Zażył, kichnął, dwakroć mię po ramieniu klasnął:
»Księże Robaku — mówił — księże bernardynie,
Obaczymy się w Litwie może nim rok minie;
Powiedz Litwinom, niech mnie czekają z tabaką
Częstochowską, nie biorę innej tylko taką».

    Mowa księdza wzbudziła takie zadziwienie,
Taką radość, że całe huczne zgromadzenie
Milczało chwilę; potem na pół ciche słowa
Powtarzano: «Tabaka z Polski? Częstochowa?
Dąbrowski? Z ziemi włoskiej?…» Aż na koniec razem,
Jakby myśl z myślą, wyraz sam zbiegł się z wyrazem,
Wszyscy jednogłośnie, jak na dane hasło,
Krzyknęli: «Dąbrowskiego!» Wszystko razem wrzasło,
Wszystko się uścisnęło: chłop z tatarskim hrabią,
Mitra z Krzyżem, Poraje z Gryfem i z Korabią;
Zapomnieli wszystkiego, nawet bernardyna,
Tylko śpiewali krzycząc: «Wódki, miodu, wina!»

    Długo się przysłuchiwał ksiądz Robak piosence,
Na koniec chciał ją przerwać; wziął w obydwie ręce
Tabakierkę, kichaniem melodyję zmieszał,
I nim się nastroili, tak mówić pośpieszał:
«Chwalicie mą tabakę, mości dobrodzieje;
Obaczcież, co się wewnątrz tabakierki dzieje».
Tu, wycierając chustką zabrudzone denko,
Pokazał malowaną armiję maleńką
Jak rój much; w środku jeden człowiek na rumaku,
Wielki jako chrząszcz, siedział, pewnie wódz orszaku;
Spinał konia, jak gdyby chciał skakać w niebiosa,
Jedną rękę na cuglach, drugą miał u nosa:
«Przypatrzcie się — rzekł Robak — tej groźnej postawie:
Zgadnijcie czyja? — Wszyscy patrzyli ciekawie.—
Wielki to człowiek, cesarz, ale nie Moskali,
Ich carowie tabaki nigdy nie bierali…»
«Wielki człowiek — zawołał Cydzik — a w kapocie?
Ja myśliłem, że wielcy ludzie chodzą w złocie:
Bo u Moskalów lada jenerał, mospanie,
To tak świeci się w złocie jak szczupak w szafranie».
«Ba — przerwał Rymsza — przecież widziałem za młodu
Kościuszkę, naczelnika naszego narodu:
