Index,Question,Answer
0,Co się stało z rękawiczką Marty?,"Rękawiczka spadła z krużganków pałacu,
Z rączek nadobnej Marty,
Upadła na środek placu,
Między tygrysa i lamparty."
0,Co opowiada mama o wioskach i duszach?,"Mama o wioskach i o duszach gada, Pan stryj o rangach, dochodach; A pokojowa służącego bada, O mych w kochaniu przygodach."
0,"Co otacza mnie w chwili snu, gdy zapadam w noc?","W chwili snu, anioł modrymi skrzydły mnie otacza,
Oczy odpoczywają po łzach i troskach,
Serce zasilane jest pokojem, w ciszy zaszkliwionym oczy,
Dobranoc, niechaj śnię się spokojem i marzeniami."
0,"Jak się czujesz, polski poeto?","Smutna jestem, Polsko, na twój widok,
Gdzie zburzone mury, w gruzach się leżą,
W Krymie, niewdzięczny, nie mówią o tobie,
A na góry wzrok kładą, jak na kłębowisko,
Tam pasożyt wrośnie i toksyczny człowiek."
0,Czy nie czas wstrzymać pogoń bieżyć?,"Nie czas wstrzymać, pogoń bieży,
Słyszysz pogoń, tętnią błonia;
Już przed koniem przepaść leży,
Rzucaj książkę! puszczam konia."
0,Co myśli Adam Mickiewicz o wiecznym życiu i wiecznej duszy diabła?,"Wiecznie diabłu dusza, albo albo wieczne życie. Skrycie myśli, wargą trochę rusza. Nic nie mówi, tylko myśli wiecznie."
0,Co symbolizują krew stygnąca i włos bielący się? Kto zamknie oko Feli i czyja dłoń to Filarecka?,"Krew stygnie, włos się bieli,
W wieczności wpadniem toń;
To oko zamknie Feli,
To Filarecka dłoń."
0,"Co można powiedzieć o smętarzu, gdzie panuje cisza, a krzyże stoją i głazy leżą?","Na smętarzu cisza była,
Stoją krzyże, głazy leżą:
Jedna bez krzyża mogiła
I ziemia ruszona świeżo."
0,"Kto zostaje nieśmiertelny, choć umiera w otchłani zapomnienia?","Anas be blėdies žūva gelmėj užmiršimo,
Ir už save palieka giesmes nemirtingas,
Tavo garbei vainiką nupint ateityje."
0,"O czym mówi wiersz «Mój kochanku, wstrzymaj wodze!»?","Wiersz opowiada o rozmowie między kochankami, którzy zadają sobie pytania na temat ozdób i drobiazgów."
0,"Jakie widoki zachwycają Cię najbardziej? Co sprawia, że twój umysł ożywa i serce bije mocniej?","Cieszę się, gdy widzę morskie fale tańczące, jak biała pianka, które otaczają się srebrnymi wstęgami i krążą wokół jak tęcza."
0,Młodości! Jakie cuda w sercu skrywasz? Jak daleko sięgnąć wzrokiem w twoje otchłanie?,"O, młodości! Ty, co nad poziomy wylatujesz, przeniknij całe ogromy ludzkości od końca do końca, jak oko słońca!"
0,"Co blizga się nad Dniestrem, jak lampa Akermano?","To blask nieba, chmur złotych olbrzymią koroną, Tam zwierzyna poranna, w promieniach błyszczy wspaniała... Dniestrem fale roziskrzą, gdy słońce zstąpi w dolinę."
0,"Czy zgodzisz się na traktat z Mefistofeleszem? Za zgodą piekło czeka, lecz bez niej zioło zginie.","Nie, nie dam się zwieść przez fortel, traktat z Mefistofeleszem odrzucam. Choć piekło czeka, nie zgodzę się na tę sztuczkę."
0,"Jakie zadanie masz dla mnie, o wieszczu?","Niespokojny wędrowcze, co mi odpowiesz?
Przez wzgórza i doliny, koniu, pędzisz
W cwał, mój towarzyszu, w cwał!
Miesiąc już schodzi, z chmur się uwolnił
A ty, przed świtem, skały chcesz zasadzić
I rzeki i góry, dziewięć i dziesięć
Za godzinę kur pieje, jak wiecień wznosi się w górę."
0,"Czy Maryla już nie ma, niestety? Kto będzie mi teraz towarzyszył?","Już więcej z sobą nie będziem mówili, Nie masz, nie masz Maryli! Któż mi zwierzy się szczerze, Komuż się ja powierzę?"
0,"Dlaczego obce mowy tu? Polski miód pijemy już, bo lepszy śpiew narodowy, i bratniej ród jest cudny wśród nas tu!","Obce mowy niech znikną stąd! Polski miód w sercach nam płynie, bo w nas śpiew narodowy brzmi, i braterstwo mocno się wiąże!"
0,"W cwał, mój koniu, koniu, w cwał! Błyska zorza z wschodnich stron, Za godzinę bije dzwon. Nim uderzy ranny dzwon, Mamy sadzić parę skał, Parę rzek i parę gór: Za godzinę drugi kur».","O, mój koniu, w cwał, w cwał! Zorza błyska na wschodzie, Dzwon bije za godzinę. Nim dzwon ranny uderzy, Sadzimy skały, rzeki i góry: Za godzinę drugi kur»."
0,Jakie są twoje polskie włości na Parnasie? Co jest dla ciebie ważniejsze - dochody z pióra czy ranga u potomności?,"Stryjaszku, duszę mam jedną,
Na Parnasie włości własne,
Dochody z pióra muszę zdobyć,
A ranga u potomstwa to najważniejsze."
0,"Czy dla prawników puchar stawiać trzeba,
Czy też prawicy władza potrzebna jest im wciąż wielka?
","Dla prawników puchar stawiać trzeba,
A dla prawicy władza jest potrzebna im wciąż wielka.
"
0,"Kim był diabeł z wiersza, co go przeczytałeś?","To Mefistofeles, poseł, który brzęczył i szumiał, z kształtem cebra i łapą kurzą. Przybył do świata, by sprawdzić ludzką żywotność. Adam Mickiewicz go opisał w wierszu, a teraz ja to wyjaśniam."
0,"Kto jest tym, kto myśli samotnie i nie odpowiada?","To dusza, która wątpi, i wstydem płonie. Umysł jej pełen zdrad, nieufności i lęków. Nie ma zaufania w nikim, w sercu samotności tkwi. Czy to moc Boża czy też zły duch, który ją opętał? Tylko ona sama ma w sobie odpowiedzi."
0,"Hej, czy życie jest jedno i niepowtarzalne? Czy warto korzystać z jego darów, nawet jeśli przyciągają nas złudne obietnice?","Oczywiście, życie przemija jak chwila, nie marnujmy go na próżne. Złoto kuszące może nas zwieść, ale warto je pić i czerpać z niego radość."
0,Czego potrzebował Adam Mickiewicz do pisania?,"Atramentu czy piasku, to nie była łatwa sprawa. Dwie świece musiał zapalić, dwa kałamarze napełnić. Ale przedtem łokcie bolały, pióro o włosek walczyło. Myślał długo, rozglądał się, aż w końcu napisał: 'Niech tak będzie'. Chciał podać swoje nazwisko, lecz zatrzymał się na T - tylko cztery kropki są wzięte."
0,"Czym jest to, co świeci i jeźdźca prowadzi przez zarośla i krzaki? Czy towarzyszy mu strach?","Miesiąc w promieniach złotych świeci, jeździec leci przez zarośla i krzaki, a pani pyta, czy strach go trapi."
0,Jakie jest twoje wrażenie z podróży po oceanie?,"Istnienie w oceanie, gdzie wody nie ma, wozu, nie wozu, błędnego, wyprawiającego wędrówki przez zielone łąki, które są ozdobione pierścieniami i są sąsiadujące z koraliowymi wyspami, naruszonymi przez falowanie."
0,Jakie elementy dominują w sonetowej poezji Krymu?,"Przyroda, historia i osobiste doświadczenia są trzonem tej poezji."
0,"Dziś gdy chce ruszać światy, jego Newtońska Mość, niechaj policzy braty i niechaj powie: dość?","Niechaj liczby braci swe, Newton przenikliwy, zliczy w każdej dziedzinie, aż do ostatniego dziś. I gdy już się rozejdzie, wiedzą bogaty, niech powie: dość! Dla nas to już koniec."
0,"Kim jesteś, towarzyszu podróży krymskiej?","Adam Mickiewicz, polski poeta, mój głos wierszem zabrzmi."
0,"Kogo wybrać, człowieka wierzącego czy niewierzącego?","Wybierz człowieka wierzącego, któremu zaufasz, jak sam sobie.
Czeka na ciebie nieśmiertelność, jeśli trafisz dobrze.
Jeśli nie, to śmierć i wieczne kary cię czekają.
Czy zechcesz zwierzyć się słudze? To zależy od ciebie."
0,"Co za droga, mój kochanku? Czy tu ślad człowieka zaginął?","Dobra droga, gdy trwoga, krzywo jedzie, kto ucieka. Do mych włości śladów nie masz, nie wpuszczam pieszych gości. Bogato cugi wiozą, biedno sługi niosą."
0,Jakie tajemnice wyroku spisali czarty?,"Na poduszce z boku, Tukaj z wolej skóry karty. Przeklęte tajemnice, Czarty spisały czarne, Jak w piekle rozum czarty. Tukaj z ciekawością chwyta, Siada, podparł się, i czyta."
0,Jakie tajemnice kryją się w górzystych krajobrazach?,"Krajobraz górskich szczytów ukrywa wiele tajemnic.
Wiatr niesie dźwięk trzepoczących ptaków,
które swobodnie unoszą się w powietrzu.
Słychać dźwięk wirujących płatków traw,
które tańczą na zielonych łąkach."
0,"Kim jesteś, wędrowcze ze szlaku?","Jam - Adam Mickiewicz, polski poeta sławny, Na kartach dziejów zapisany, O którejś godzinie porannej, Wędrujący wierszem po kraju, Wznoszący chwałę ojczyźnie, I sławę przynoszący wierszem."
0,"Czy żaltys w Žolyną przemierzać się stara... Czy z Litwy dochodzą do nas plotki... Wyruszajmy, nikt nie woła! Odpowiedz mi, Adamie Mickiewiczu, poeta!","O, żaltysie, który w Žolyną się snujesz... Plotki z Litwy, czy są prawdziwe... Wyruszajmy, nikt nas nie woła! Odpowiem ci, poeto Adamie Mickiewiczu!"
0,"Panno, Panno, czy nie strach?","Głos z mroku do mnie szepcze,
Dusza wstydu nieprzezwyciężona,
Duch przeklęty, klątwy przyjmuje,
Jeździec szybko przemierza drogę,
Panna grzeszy, grzechu nie wstydzi,
Otwiera się gmach zimny i ciemny,
Strach mnie ogarnia, serce mi drży."
0,"Jaki los czekał króla, gdy skinął palcem?","Król ziewał, obracał oczy wokoło,
Kudły zadrżały na grzywie jego,
Cielsko obalił się na ziemię,
Spadły wrzeciądze, lwisko ogromne.
Igrzysko zaczęło się, toczyło wolno,
Król czoło podnosił, milczkiem oczy obracał."
0,Czy po trudzie ludowi zostaną imiona miłe?,"Nie, po trudzie ludowi imion brak zostanie."
0,"Przyszła kuma, widma stara?","Wypędź księdza, wypędź klechę,
Bóg i wiara, sen i mara,
Kuma w biedzie ma pociechę,
Kuma stara umie wiele,
Ma kwiat paproć i car-ziele,
A ty masz kochanka dary,
Przyszłam zrobić możne czary."
0,Kto rękawiczkę Marta mi poda?,"Emrod, który miłość jej okazał, wielbiąc ją tysiąc razy, spełni jej prośbę i poda jej rękawiczkę z uśmiechem na twarzy."
0,Dlaczego Adam Mickiewicz tak się zagniewał?,"Przeczytał kontrakt, westchnął z żalem,
Zębem zgrzytał, rękę na stół uderzył.
Z diabłami rzecz nie lada, niech go nikt nie łaje.
Wziął pargamin, zważył, znowu zmierzył, znowu myślił.
Machnął ręką: «Niech tak będzie!» - tak zdecydował."
0,Jak możecie uciec spod wpływu piekła i uwolnić się od cielesnej katuszy?,"Przez żywioł wasz, przez ognisko! Zaklinamy was, wzywamy! Niech wasze dusze odzyskają wolność!"
0,"Czy ślub czeka śmiertelność? Czy kieruje nas do trumny, nie do ołtarza? Matko, żal zabije, gdy umrze mój miłośnik!","Niechaj ślub nie prowadzi do grobu, lecz do ołtarza! Niechaj miłość nie zabija, lecz rodzi radość! Matko, w żalu nie zginę, bo miłość jest wieczna!"
0,Jakie uczucia wywołuje w czytelnikach magia Krymskich sonetów?,"W Krymskich sonetach Mickeviča w jasnych sonetach czujemy spokój natury, w ciemnych zaś panuje groza i odwaga."
0,W czym tkwi piękno Krymskich sonetów?,"Piękno sonetów tkwi w harmonijnym zestawieniu poszczególnych części i elementów. To harmonia, która wzbudza współczucie i zachwyca czytelnika zarówno dzisiaj, jak i w przeszłości."
0,"Czy czas ucieka prędko, a koń zarży i sowa jęczy? Czy zegar wybija godzinę, gdy się żegnamy? Czy chcesz zostać na wieki moją?","Słodko, prędko czas ucieka,
Wtem koń zarżał, jękła sowa,
Zegar wybił. — «Bywaj zdrowa!
Koń mój zarżał, koń mój czeka;
Albo wstawaj, na koń siądź
I na wieki moją bądź»."
0,"Jakie uczucie towarzyszy młodości, gdy dzieli się je z innymi?","Młodości! Tobie nektar żywota,
Natenczas słodki, gdy z innymi dzielę:
Serca niebieskie poi wesele,
Kiedy je razem nić powiąże złota."
0,"Gdzie byłeś zimą, widziałeś potoki i rzeki?","Byłem tam, gdzie zima siedzi, potoki i rzeki widziałem. Z ust moich śnieg leciał, pomykałem kroków."
0,Jakie są twoje ulubione wiersze Friedricha Schillera?,"O Schillerze, twórcy znakomitym,
Ileż o nim mam wieści cudownych!
Jego wiersze pełne są wzniosłości,
Ożywiają duszę, są wielką duchowością.
'Maria Stuart', 'Don Carlos' i 'Wallenstein',
To tylko niektóre z jego dzieł znakomitych.
Schiller, twoje utwory zachwyciły mnie,
I będę o nich pisał, jak o swoich własnych."
0,Jak Adam Mickiewicz ukazuje prigimtę w sonetach Krymskich?,"W tych sonetach widzisz pejzaże Krymu, gdzie wspaniale opisuje przyrodę. Góry, przepaście, konie galopujące po dolinach, morze i jego spokój, wszystko to ożywia naturę. To prawdziwy obraz poezji, pełen siły i piękna."
0,Jaką cechę ma posiadać tamta osoba?,"Skromność i nieuchwytność, jak wąż wystygły."
0,Jakim imieniem Goethe jest w Chuld Nameh?,"W Chuld Nameh Goethe jest imieniem, które wznosi się ku górze, jak złote promienie słońca. Wielki pisarz niemiecki, który owocem swej pracy zapłonął w sercach nacji. Jego imię jest dla mnie hołdem, pełnym szacunku gestem."
0,Jakie warunki dodano na końcu?,"Na końcu dodano warunek, taki nieodzowny,
Bym odpowiedzi wierszem zawsze dostarczał.
Dalej tam były przestrogi, jakieś pouczenia,
Jak siekać głowę, jak nogi, w jakiej wodzie trunek.
I na koniec, jak dodatek, taką miłość warunkową
Dodano - zawsze w wierszu odpowiadać mam."
0,"Czego drżysz, koniu mój, gdyż zadrżałeś? Tyle rzek, skał i gór już przemierzyłeś. Stój, mój koniu, stój! Powiedz, co cię boli? Mnie i tobie krzyż na plecach ciąży, czyżby? ","Nie drżę z bólu, lecz od zmęczenia wielkiego. Przebyłem wiele rzek, skał i gór wysokich. Krzyż na moim grzbiecie ciężar niewyobrażalny, ale nie zawaham się, wciąż podążam niezmiernie odważnie. "
0,"Kim był ten samoluby, którego nikt nie znał? ","To był płaz w skorupie, żeglarz samolotu, który wzbijał się w powietrze, ale nikt nie znał jego losu."
0,Jak ewoluował ton w Krymskich sonetach Adama Mickiewicza?,"Głębokie uczucia i piękno Krymu w tonie patetycznym. Sonety nieustannie wzmacniały i doskonaliły ten sam ton, wyrażając mocnymi słowami najważniejsze miejsca i cechy Krymu."
0,"Dlaczego, kiedy cię widzę, czuję spokój i chłód,Aby znów płonąć - jak dawniej, milczeć w grocie?","O, mój przyjacielu, niechaj mi odpowiedź spłynieW wierszu, co jak rzeka z duszy się wyleje."
0,Jakie są cechy epiścikich Krymskich sonetów Adama Mickiewicza?,"Wszystkie te estetyczne znaki są zgromadzone w jednym epicko-lirycznym poemacie Krymskich sonetów, tak jakby nie można było nic dodać ani odejmować, nie naruszając proporcji i nie naruszając piękna. W tych znakach tkwi wyjątkowy urok dzieła."
0,"Jakie są trzy elementy, które są używane w poezji Adama Mickiewicza?","To natura, historia i refleksja, które są przedstawiane w sonetach z użyciem przenośni i odwołań do różnych faktów i opowieści."
0,"Jak Adam Mickiewicz oczyszczał smutne myśli, jadąc na koniu przez fale Bajdarów?","Lecz jak kiedyś Władysław Jagiełło, zwyciężając Tatarów, i dziedzicząc ziemie nad Czarnym Morzem, na koniu siedząc, wskoczył w fale i pół mili płynął wzburzonych mórz, aby panować nad tymi morzami; tak teraz poeta, przepływając przez błękitne morza, tańczy w ich burzach, by zatopić smutne myśli w falach."
0,"Co witasz, jutrzenko swobody, i czego za tobą słońce niesie?","Pryskają nieczułe lody, przesądy światło ćmiące. Witaj, jutrzenko swobody, zbawienia za tobą słońce!"
0,"Jak Adam Mickiewicz piastował krzyżyk, na którym świat zbawił?",O matko Polko! twe dziecko przyszłymi zabawkami się bawiło.
0,"Pozwól uścisnąć dłonie, ucałować nogę.Ty drżysz! czego?","Ja nie wiem. Błądząc po gaiku, Lękam się szmeru liścia, nocnych ptaków krzyku: Ach! musimy być winni, kiedy czujem trwogę"
0,"Czego chciałeś, duszeczko mała?","Ziarneczko miłe, o coś prosiłaś?"
0,"Kto zrozumie poeta, w dichterowskiej krainie bywać musi, jak to mawiał Mickiewicz?","Kto chce poety zrozumieć, do krainy poety musi się udać, jak mawiał Mickiewicz w swym wierszu"
0,"Jakie jest znaczenie wiersza «Sznur przeklęty! sznur znienackaRumakowi miga w oczy,Patrz, jak zadrżał, bokiem skoczy.Moja luba, rzuć te cacka!»?","Wiersz opisuje sytuację, w której rumak reaguje nerwowo na widok przeklętego sznura. Podmiot liryczny prosi swoją ukochaną, aby odrzuciła ten przedmiot, który przeraża konia."
0,"Co się stało z krzyżem, jeźdźcem i Panną?","Krzyż na ziemię padł i zniknął, Jeździec Pannę wpoły ścisnął, Z oczu i z ust ogniem błysnął, Rumak ludzkim śmiechem ryknął. Przeskoczyli cwałem mury, Biją dzwony, pieją kury. Nim ksiądz przyszedł na mszę ranną, Zniknął koń z jeźdzcem i Panną."
0,Jakie utwory A. Mickiewicza stanowią most między lirycznymi sonetami Krymskimi a patriotycznymi wierszami Konrada?,"Krymskie sonety wagi wiele w twórczości Mickiewicza, między dainą leniwą a Konradem, który dla ojczyzny oddaje swój talent."
0,"Emrod przeskoczył zapory, idzie pomiędzy potwory. Co zrobił potem? Czy powrócił do kochanki?","Emrod, dzielny rycerz, na krużganki wstąpił. Tam, rękawiczkę w oczach kochanki rzucił. Dzięków nie pragnął, poszedł i nie powrócił."
0,"Jakie elementy historii Krymu są widoczne w opisie miejsc takich jak Bachczysaraj, Jaskinia Potockiej, Cmentarz Haremów, Balakława?","Prastara kraina, Bachczisaraj tajemniczy, Jaskinia Potockiej wśród wzgórz, Cmentarz Haremów pełen tajemnic, Balakława, port złoty"
0,Kto kluczy w Akermano tyrusach?,"To bastuoklis, co szuka gwiazdy-przewodnika. Spokojna natura budzi w nim tęsknotę za ojczyzną i bliskimi. Cisza nocy przytłumiła dźwięk. Słyszy szmer z Litwy, napina uszy, lecz nikt nie woła, więc jedzie dalej."
0,"Czy w twoim sercu, duchu i myśli, Adamie Mickiewiczu, jest miejsce dla miłości i oddania?","Jak duch, przez dzielnej wróżki zaklęty,
Żyłbym twoje wypełniać, zgadywać rozkazy;
Śmiej się luba! Choć duma przyznać się zabrania,
Sługą będę; cóż miałbym do rozkazywania?
Na twym złożyłbym łonie mój rozum i wolę,
Aby nigdy nic nie czuć oddzielnie od ciebie."
0,Która wiersz to Adam Mickiewicz? (Maksymalnie 50 słów),"Każże mu wcześnie w jaskinią samotną
Iść na dumanie… zalegać rohoże,
Oddychać parą zgniłą i wilgotną
I z jadowitym gadem dzielić łoże."
0,"Mówcie, komu czego braknie, Kto z was pragnie, kto z was łaknie?","Niechaj mówią, kto czego pragnie, Kto z was łaknie, komu braknie."
0,Jak prigimtis atjaunino sonety?,"Prigimtis, vasaros vaizduose malująca się,
Sonetom piękno nowe dodaje.
Laury miłość, erotyczna, znudziła się,
Nuobodną pasaką stała się z czasem.
Sonetowa natura, weszła na scenę,
Przywróciła sonetom młodość i świeżość."
0,"Gdzie kończy się jazda chmur, gdzie orły dróg nie wiedzą?","Tam, gdzie gwiazda nad turbanem jest jedynym światłem, to jest Czatyrdah!"
0,"Ciemno wszędzie, głucho wszędzie, Co to będzie, co to będzie?","Tajemnicą jest, nieznane przed nami, Co się wydarzy, przyszłość tajemnicza. Lecz niech nas wiedzie nadzieja mocno w sercu, W ciemnościach i ciszy, światło odkrywać będziemy."
0,"Czy wiesz, kim jestem, poeta z ducha, który tłumaczy wiersze na polski?","Nie znam cię, ale spojrzyj w głąb duszy, tam znajdziesz skarbnicę czułości i łagodnej dobroci. Wyobraźnia ziemską dolę złoci. Nie osądzaj mnie zbyt pochopnie, czekaj na słońce i pogodę. Gdybym wiedział, że jestem kochany, wygnam z serca bojaźń zmiany. Chciałbym być szczęśliwy, byś była ze mnie rada."
0,"Czym jest dla ciebie starzec, który dumy pieje i przodków dzieje słucha?","Starzec to dla mnie mądrość wcielona, co dumy pieje i przodków dzieje słucha z głową pochyloną."
0,"Czym jest ta burza, co dręczy twe serce?","To tęsknota, co w duszy mego serca się tli,
Jak burza morska, co falami na łódź się rwie.
Nadziei ostatni promyk gaśnie w jej mrokach,
Odrzucając spokój i wywołując ból i zgrzyty."
0,Jaki jest treść Krymskich sonetów? (max 50 słów),"To są lustra duszy, tajemnicze jak Taurida,
Górzystych sonetów Krymu treścią wypełnione,
Przepastne jak przepaść, w sercu ich zawarte,
Przez verpet dźwięki dainy i natury ukazane."
0,"Jakie piękno dostrzegasz w Aluście, kiedy spoglądasz na naturę wokół?","W Aluście rozkwita piękno natury – spokój i harmonia. Dainius zachwyca się urokami okolicy, które go uspokajają i inspirują. Dzień obdarza go nowymi widokami i grą kolorów, a noc budzi go z uśmiechem, aby cieszyć się nowymi urokami przyrody."
0,Jakie przesłanie niesie ten wiersz o miłości i przyjaźni?,"Miłość i przyjaźń są siłami, które mogą przemienić świat ducha. Młodość rodzi miłość, a przyjaźń łączy się na zawsze."
0,Co to jest Dziady?,"Dziady, uroczystość obchodzona z powodu zmarłych przodków, dawniej zwana ucztą kozła, przewodniczył jej kapłan i poeta."
0,"Czy zważmy, że kto nie zna goryczy w życiu,",Nie pozna słodyczy w wieczności blasku?
0,"Jakie wyrazy składasz, by złorzeczyć okrucieństwu?","Zrywam się, biegę, składam na pamięć wyrazy, Któremi mam złorzeczyć okrucieństwu twemu, Składane, zapomniane, po milijon razy..."
0,"Czy wiesz, co na ucho powie, gdy przemęczony padniesz na łoże, w nadziei, że snem ukradniesz chwilę cierpieniom, a serce ogniste w głowie zapłonie?","Gdy padniesz na łoże, w nadziei na sen, serce ogniste w głowie zapala się wewnętrznym płomieniem."
0,"Jak się czujesz, Adamie Mickiewiczu?","Mówię z sobą, z drugimi plączę się w rozmowie,
Serce bije gwałtownie, oddechem nie władnę,
Iskry czuję w źrenicach, a na twarzy bladnę;
Nie jeden z obcych głośno pyta o me zdrowie."
0,Jaką formę poezji romantycznej Adam Mickiewicz wybrał?,"Sonet romantyzmu Mickevičius pisał
I klasików formy gładził, poprawiał
W Krymskich sonetach technikę kreował
Echa jego w późniejszych tworach słychać
Rymów mistrzem wiersze swe nazwać mógłby
Mickevičius, pan poezji, tak brzmieć"
0,"Czym Adam Mickiewicz nie będzie podążać, jak dawni rycerze?","Adam Mickiewicz nie pójdzie, jak dawni rycerze"
